entity_group,k,hybrid_recall
multi-entity,1,0.10388888888888889
multi-entity,5,0.18753968253968253
multi-entity,10,0.2611904761904762
multi-entity,20,0.3198412698412698
single-entity,1,0.05466666666666667
single-entity,5,0.15533333333333332
single-entity,10,0.171
single-entity,20,0.21066666666666667
overall,1,0.073125
overall,5,0.16741071428571427
overall,10,0.20482142857142857
overall,20,0.25160714285714286
