entity_group,k,hybrid_recall
multi-entity,1,0.04444444444444444
multi-entity,5,0.13087301587301586
multi-entity,10,0.22952380952380952
multi-entity,20,0.31317460317460316
single-entity,1,0.084
single-entity,5,0.19866666666666666
single-entity,10,0.2366666666666667
single-entity,20,0.2533333333333333
overall,1,0.06916666666666667
overall,5,0.1732440476190476
overall,10,0.23398809523809522
overall,20,0.2757738095238095
