system,recall_at_1,recall_at_5,recall_at_10,recall_at_20
graph,0.003125,0.028869047619047617,0.03761904761904762,0.04574404761904762
biencoder_graph_hybrid,0.073125,0.16741071428571427,0.20482142857142857,0.25160714285714286
colbert_graph_hybrid,0.06916666666666667,0.16907738095238095,0.23773809523809525,0.2757738095238095
colbert_graph_selective,0.06916666666666667,0.16907738095238095,0.23773809523809525,0.2757738095238095
